country,state,city
India,Andhra Pradesh,Visakhapatnam
India,Andhra Pradesh,Vijayawada
India,Andhra Pradesh,Guntur
India,Andhra Pradesh,Nellore
India,Andhra Pradesh,Kurnool
India,Andhra Pradesh,Kakinada
India,Andhra Pradesh,Rajahmundry
India,Andhra Pradesh,Kadapa
India,Andhra Pradesh,Mangalagiri-Tadepalli
India,Andhra Pradesh,Tirupati
India,Andhra Pradesh,Anantapuram
India,Andhra Pradesh,Vizianagaram
India,Andhra Pradesh,Eluru
India,Andhra Pradesh,Nandyal
India,Andhra Pradesh,Ongole
India,Andhra Pradesh,Adoni
India,Andhra Pradesh,Madanapalle
India,Andhra Pradesh,Machilipatnam
India,Andhra Pradesh,Tenali
India,Andhra Pradesh,Proddatur
India,Andhra Pradesh,Chittoor
India,Andhra Pradesh,Hindupur
India,Andhra Pradesh,Srikakulam
India,Andhra Pradesh,Bhimavaram
India,Andhra Pradesh,Tadepalligudem
India,Andhra Pradesh,Guntakal
India,Andhra Pradesh,Dharmavaram
India,Andhra Pradesh,Gudivada
India,Andhra Pradesh,Narasaraopet
India,Andhra Pradesh,Kadiri
India,Andhra Pradesh,Tadipatri
India,Andhra Pradesh,Chilakaluripet
India,Arunachal Pradesh,Itanagar
India,Arunachal Pradesh,Bomdila
India,Arunachal Pradesh,Pasighat
India,Arunachal Pradesh,Ziro
India,Arunachal Pradesh,Tawang
India,Arunachal Pradesh,Roing
India,Arunachal Pradesh,Bhalukpong
India,Arunachal Pradesh,Changlang
India,Arunachal Pradesh,Dibang Valley
India,Arunachal Pradesh,East Kameng
India,Arunachal Pradesh,Tezu
India,Arunachal Pradesh,Lohit
India,Arunachal Pradesh,Daporijo
India,Arunachal Pradesh,Anini
India,Arunachal Pradesh,Namsai
India,Arunachal Pradesh,Khonsa
India,Arunachal Pradesh,Tawang Town
India,Arunachal Pradesh,Yingkiong
India,Arunachal Pradesh,Sela Pass
India,Arunachal Pradesh,Seppa
India,Arunachal Pradesh,Dirang
India,Arunachal Pradesh,Naharlagun
India,Arunachal Pradesh,Koloriang
India,Arunachal Pradesh,Miao
India,Assam,Guwahati
India,Assam,Jorhat
India,Assam,Dibrugarh
India,Assam,Tezpur
India,Assam,Sivasagar
India,Assam,Bongaigaon
India,Assam,Tinsukia
India,Assam,Nagaon
India,Assam,Dhubri
India,Assam,Barpeta
India,Assam,Goalpara
India,Assam,Karimganj
India,Assam,Silchar
India,Assam,Golaghat
India,Assam,Nalbari
India,Assam,Dhemaji
India,Assam,Kamrup
India,Assam,Lakhimpur
India,Assam,Cachar
India,Assam,Karbi Anglong
India,Assam,Hailakandi
India,Assam,Kokrajhar
India,Assam,Morigaon
India,Assam,Sonitpur
India,Bihar,Patna
India,Bihar,Gaya
India,Bihar,Bhagalpur
India,Bihar,Darbhanga
India,Bihar,Begusarai
India,Bihar,Munger
India,Bihar,Buxar
India,Bihar,Madhubani
India,Bihar,Nawada
India,Bihar,Purnia
India,Bihar,Saharsa
India,Bihar,Sitamarhi
India,Bihar,Vaishali
India,Bihar,Jamui
India,Bihar,Araria
India,Bihar,Rohtas
India,Bihar,Bihar Sharif
India,Bihar,Muzaffarpur
India,Bihar,Nalanda
India,Bihar,Katihar
India,Bihar,Siwan
India,Bihar,Samastipur
India,Bihar,Kishanganj
India,Bihar,Gopalganj
India,Chhattisgarh,Raipur
India,Chhattisgarh,Raigarh
India,Chhattisgarh,Mahasamund
India,Chhattisgarh,Korba
India,Chhattisgarh,Rajnandgaon
India,Chhattisgarh,Bilaspur
India,Chhattisgarh,Dhamtari
India,Chhattisgarh,Jagdalpur
India,Chhattisgarh,Kanker
India,Chhattisgarh,Ambikapur
India,Chhattisgarh,Bemetara
India,Chhattisgarh,Chirimiri
India,Chhattisgarh,Kondagaon
India,Chhattisgarh,Baikunthpur
India,Chhattisgarh,Bhilai
India,Chhattisgarh,Dalli Rajhara
India,Chhattisgarh,Manendragarh
India,Chhattisgarh,Mungeli
India,Chhattisgarh,Gaurella
India,Chhattisgarh,Sakti
India,Chhattisgarh,Ambagarh Chowki
India,Chhattisgarh,Sarangarh
India,Chhattisgarh,Khairagarh
India,Chhattisgarh,Jashpur Nagar
India,Chhattisgarh,Champa
India,Chhattisgarh,Katghora
India,Chhattisgarh,Akaltara
India,Chhattisgarh,Saraipali
India,Chhattisgarh,Takhatpur
India,Chhattisgarh,Kawardha
India,Chhattisgarh,Pithora
India,Chhattisgarh,Simga
India,Chhattisgarh,Lormi
India,Chhattisgarh,Dantewada
India,Chhattisgarh,Bhatapara
India,Chhattisgarh,"Pop. 58,000"
India,Chhattisgarh,Surajpur
India,Chhattisgarh,Sukma
India,Chhattisgarh,Balod
India,Chhattisgarh,Bijapur
India,Chhattisgarh,Dongargarh
India,Chhattisgarh,Ratanpur
India,Chhattisgarh,Pendra
India,Chhattisgarh,Bishrampur
India,Chhattisgarh,Kharod
India,Chhattisgarh,Bodri
India,Chhattisgarh,Janjgir
India,Chhattisgarh,Durg
India,Chhattisgarh,Balrampur
India,Chhattisgarh,Gariyaband
India,Chhattisgarh,Pakhanjur
India,Goa,Panaji
India,Goa,Margao
India,Goa,Mapusa
India,Goa,Ponda
India,Goa,Canacona
India,Goa,Pernem
India,Goa,Mormugao
India,Goa,Bicholim
India,Goa,Quepem
India,Goa,Cuncolim
India,Goa,Sanguem
India,Goa,Sanquelim
India,Goa,Valpoi
India,Goa,Bardez
India,Goa,Curchorem
India,Goa,Tiswadi
India,Goa,Salcete
India,Goa,Sattari
India,Gujrat,Ahmedabad
India,Gujrat,Surat
India,Gujrat,Vadodara
India,Gujrat,Rajkot
India,Gujrat,Bhavnagar
India,Gujrat,Jamnagar
India,Gujrat,Gandhinagar
India,Gujrat,Junagadh
India,Gujrat,Gandhidham
India,Gujrat,Anand
India,Gujrat,Navsari
India,Gujrat,Morbi
India,Gujrat,Nadiad
India,Gujrat,Surendranagar
India,Gujrat,Bharuch
India,Gujrat,Mehsana
India,Gujrat,Bhuj
India,Gujrat,Porbandar
India,Gujrat,Palanpur
India,Gujrat,Valsad
India,Gujrat,Vapi
India,Gujrat,Gondal
India,Gujrat,Veraval
India,Gujrat,Godhra
India,Gujrat,Patan
India,Gujrat,Kalol
India,Gujrat,Dahod
India,Gujrat,Botad
